순번,용어,용어설명
93,전자파복사 위해성(電磁波輻射 危害性)," 1. 송신기나 안테나의 설치로 인해 병기(兵器), 직원, 연료주입처 부근에서 설정된 안전 레벨을 초과하는 전자파 복사를 발생시키거나, 기존 레벨을 위험 수준으로 증가시킴으로써 야기되는 위해. 또는, 계획된 작전이나 점령에 위험한 수준으로 전자파 복사가 조사(照射)되는 지역에 위치한, 직원, 연료주입, 또는 병기 설치 시에 야기되는 위해. 충분한 세기의 전자기장이 발생하여, (a) 전자기폭장치, 또는 무기 시스템, 병기 또는 기폭장치의 다른 민감한 기폭용 부품을 점화시키기에 충분히 큰 전류나 전압을 유도 또는 결합시키거나, (b) 인간이나 야생동물에게 유해한 영향을 야기시키거나, (c) 영향을 받는 지역에서 다루어야 하는 가연성 혼합물을 점화시키기에 충분한 크기를 가진 불꽃을 만들 때, 이러한 위해가 존재할 것이다.<br> 2. 인간, 장비, 탄약 또는 연료가 위험한 수준의 전자파복사에 노출되는 조건. 전자파 에너지로 인해 휘발성 물질이 연소할 수 있거나, 인체에 해로운 생체 영향이 있을 수 있거나, 전자기폭 장치에 의도되지 않은 동작이 일어날 수 있거나, 또는 안전기준 회로가 고장나거나 점차적으로 성능저하가 일어날 수 있다. <br> Harzards caused by a transmitter/antenna installation that generates electromagnetic radiation in the vicinity of ordnance, personnel, of fueling operations in excess of established safe levels or increases the existing levels to a hazardous level; or a personnel, fueling, or ordnance installation located in an area that is illuminated by electromagnetic radiation at a level that is hazardous to the planned operations or occupancy. These hazards will exist when an electromagnetic field of sufficient intensity is generated to: (a) induce or otherwise couple currents and/or voltages of magnitudes large enough to initiate electroexplosive devices or other sensitive explosive components of weapon systems, ordnance, or explosive devices; (b) cause harmful or injurious effects to humans and wildlife; (c) create sparks having sufficient magnitude to ignite flammable mixtures of materials that must be handled in the affected area. <br><a href=""javascript:window.open('http://ntia.its.bldrodoc.gov/fs-1037','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://ntia.its.bldrodoc.gov/fs-1037</a> <br> 2. A condition that would expose personnel, equipment, munitions, or fuel to a dangerous level of electromagnetic radiation. The electromagnetic energy is of volatile combustibles, harmful biological effects on humans, inadvertent operation of electroexplosive device, or failures or progressive degradation in safety critical circuits. IEEE Std. 211-1990"
94,일주기성(日週期性) 리듬," 외부 자극에 의해 조절되는, 대략 24 시간 주기를 갖는 생물학적 과정의 변화. <br> Oscillation of biological processes with an approximate 24 h period regulated by external stimuli. IEEE Std 539-1990  "
95,일차공기,석탄연소장치를 가진 보일러에 공급되는 공기로서 연료를 버너로 수전하고 연소에 직접 제공되는 공기.
96,일차단위변전소,"전력 및 배전 변압기의 저압측 정격 전압이 1,000V 이상인 변전소."
97,일차배전전압,배전용변압기를 경계로하여 고압측전압.
98,일차변전소,발전소로부터 일차송전선으로 수송된 전력을 최초로 수전하는 변전소이다.
99,일차에너지공급,"전력계통에서 발전을 위해 석탄, 석유, 가스 등의 1차 에너지를 공급하는 행위."
100,일차에너지시스템,"발전기에 동력을 제공하는 시스템을 지칭하는 것. 화력의 경우는 보일러, 터빈 시스템 및 그 주변기기 모두를 가리킨다."
101,일차주보호,"전력설비의 중요도에 따라 한 개의 전력설비에 2가지 이상의 주보호장치가 적용되는 경우에 있어서 그중 첫번째 주보호. 우리 나라 345kV 계통 의 송전선로 보호에 적용되는 그 중 주보호 방식은 1차 주보호에는 거리방향비교 전력선 반송배전 방식, 2차 주보호에는 underr-each 전송 차단반송계전방식이 채용되고 있다."
102,일조작일지시,"전력계통의 급전지시의 하나로 중앙급전소 또는 지역급전소에서 변전소와 발전소에 대하여 1조작마다 1지시를 하는 것. 조작의 1 단계(step) 씩 지시, 조작실시, 보고실시의 순서를 반복하여 조작한다."
103,일필지,"토지를 등록하는 정보의 단위로서 개별화되어 소유되고, 경계를 이루어 동일한 경작이 가능하거나 하나의 획지로서 택지가 될 수 있는 토지를 말한 다."
104,임계온도,외부자계가 존재하지 않고 전류가 흐르지 않을 때 초전도 물질이 정상적 상태로부터 초전도 성질을 갖게 될 때의 온도.
105,임계전류,외부자계가 존재하지 않는 특정온도 상태에서 초전도 물질이 정상적 상태로부터 초전도 성질을 갖게 될 때 흐르는 전류.
106,임금가이드라인,"임금수준을 산업의 국제경쟁력 제고 등 경제정책 목적에 맞도록 유지하기 위하여 주로 정부가 노사에게 제시하는 임금인상률의 표준치. 법적규제와 같이 강제성은 없지만, 노사간의 임금인상 자제에 기대하는 것으로 임금안정을 통해 물가안정과 경쟁력제고 등 국민경제의 이익을 추구하기 위하여 시 행하고 있으며, 1997년부터 노사자율을 장려하기 위해 정부의 제시치가 없다."
107,임시고용노무자,"날품노무자로서 보조노무자이고, 임금도 싸다."
108,임시공급,"건설공사, 제전(祭典)용 등과 같은 비교적 짧은 기간의 임시적 부하에 대한 전기 공급."
109,임시상태 혹은 점퍼,"신호선, 배관 혹은 기기 등을 임시로 사용하여 정상을 벗어난 상태. 주로 전기결선에 관한 사항을 말함."
110,임시접지,보통 때는 동작 중인 부품과 접지 시스템을 연결하는 것. 일시적으로 사용하여 작업이 무사히 진행되도록 한다.
111,임시휴전,계획휴전일에 미시행하는 휴전. 계통운전상 또는 긴급을 요하는 공사 등 정기휴전심의를 거치지 않고 시행하는 휴전을 말한다.
112,임팩트 렌치,볼트의 압축공기를 사용하여 강력하게 조여 붙이는 기계
113,임펄스," 1. 고려하는 가장 높은 주파수에서의 한 사이클에 비해 짧은 지속 시간을 갖는 전기적인 펄스. 수학적으로는 무한한 크기의 진폭, 극히 짧은 지속 시간, 그리고 유한한 면적을 갖는 펄스이다. 스펙트럼 에너지 밀도는 전압-시간 면적에 비례하며, 임펄스라고 간주될 수 있는 가장 높은 주파수에 이르기까지 균일하고, 연속적으로 분포되어 있다. 균일한 레벨을 가지고 규칙적으로 반복되는 임펄스는 반복 주파수의 크기만큼의 주파수로 분리되는 산재성 주파수들(푸리에 성분)로 이루어진 균일한 스펙트럼을 발생시킨다.<br> 2. 주어진 응용분야에서, 단위펄스 또는 디락델타 함수와 근사하는 펄스.<br> 3. 전기 에너지 또는 자기 에너지, 전자기 에너지의 짧은 서지. &#41225; surge : 서지<br> 1. An electrical pulse of short duration relative to a cycle at the highest frequency being considered. Mathematically, it is a pulse of infinite amplitude, infinitesimal duration, and finite area. Its spectral energy density is proportional to its volt-time area, and is uniformly and continuously distributed through the spectrum up to the highest frequency at which it may be considered an impulse. Regularly repeated impulses of uniform level will generate a uniform spectrum of discrete frequencies (Fourier components) separated in frequency by an amount equal to the repetition frequency. MIL-STD-463A (4.96), ANSI C63.14-1992<br> 2. A pulse that, for a given application, approximates a unit pulse or a Dirac delta function. IEEE Std. 211-1990<br> 3. A short surge of electrical, magnetic, or electromagnetic energy. Synonym surge. <br><a href=""javascript:window.open('http://www.its.bldrdoc.gov/fs-1037/','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.its.bldrdoc.gov/fs-1037/</a>"
114,전도성 결합(電導性 結合)," 1. 전하의 유도나 축적의 결과로써 도전 물질이나 전기회로 내에 전압이나 전류가 발생되는 과정.<br> 2. 인덕티브 결합이나 커패시티브 결합과는 달리, 물리적 접촉에 따라 이루어지는 에너지 전달. 주 : 1) 전도성 결합은 배선용 핀이나 금속본딩과 같은 공통 단자 또는 선로, 저항에 의해서 일어날 수 있다. 2) 전도성 결합은 모든 주파수대역을 통과시킨다. <br> ☞ direct coupling : 직접 결합, DC coupling : 직류 결합, resistive coupling : 저항성 결합, hard-wire coupling : 하드와이어 결합 <br> ☞ coupling : 결합 <br> 1. The process of generating voltages and/or currents in conductive object or in an electric circuit as a result of induction or deposition of charge. IEEE Std 539-1990 (13.3)<br> 2. Energy transfer achieved by means of physical contact, i.e., coupling other than inductive or capacitive coupling. Note 1: Conductive coupling may be achieved by wire, resistor, or common terminal, such as a binding post or metallic bonding. Note 2: Conductive coupling passes the full spectrum of frequencies, including dc. Synonym direct coupling. <br><a href=""javascript:window.open('http://www.its.bldrdoc.gov/fs-1037/','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.its.bldrdoc.gov/fs-1037/</a> "
115,전도성 도포(傳導性 塗布)," 기기 내부로부터의 전자파 방출을 줄이기 위해 은, 동, 니켈, 카본 등의 도전성 재료가 섞인 저저항 피막작용의 도료를 플라스틱 등의 케이스에 바르는 것. "
116,전도성 방출(電導性 放出)," 전력선이나 신호선 및 금속성 파이프와 같이 설계상 의도적이지 않거나 우연히 지나가는 도체를 따라 전달되는 전자기 방출.<br> ☞ emission : 방출 <br> Electromagnetic emissions propagated along a metallic conductor, which could be a powerline signal line, and/or an unintentional or fortuitous conductor such as a metallic pipes, etc. ANSI C63.14-1992 "
117,전도성 장해(電導性 障害)," 1. 전기적 연결을 통해 수신기에 들어오는 전도성 고주파 잡음 또는 불요 고주파 신호에 의해 발생되는 장해. <br> 2. 도체를 따라 전파되는 불요 전자파 에너지로, 일반적으로 전압 및 전류 레벨의 항으로 정의된다. <br> 3. 전도성 결합(즉, 직접 결합)을 통해 기기 내에 침투하는 잡음이나 불요신호로 인해 발생되는 장해. 4. 수신기나 송신기 또는 이와 관련된 장비 내에서 생성되거나 또는 이들 장비 내로 전도되어 안테나 단자에 나타나는 불요전압이나 불요전류. <br> &#41225; conducted disturbance : 전도성 방해<br> 1. Interference resulting from conducted radio noise or unwanted radio signals entering a transducer(receiver) via the electrical connections. IEEE Std 539-1990 (9.9.3)<br> 2. Undesired electromagnetic energy that is propagated along a conductor, usually defined in terms of a voltage and/or current level. IEEE Std. 211-1990<br> 3. Interference resulting from noise or unwanted signals entering a device by conductive coupling, i.e., by direct coupling. 4. An undesired voltage or current generated within, or conducted into, a receiver, transmitter, or associated equipment, and appearing at the antenna terminals.  <br><a href=""javascript:window.open('http://www.its.bldrdoc.gov/fs-1037/','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.its.bldrdoc.gov/fs-1037/</a> "
118,전동기,"전자기력을 이용한 기계이다. 전자기력의 세성분 F, B, I 는 플레밍의 왼손법칙(서로수직)에 관계에 있다"
119,전동기용 퓨즈,전동기의 보호에 적합한 퓨즈를 말한다.
120,전략적제휴,"여러기업들이 고객에게 특별히 만족을 주는 자사 특유의 핵심역량을 바탕으로 상호 협력관계를 유지함으로써 다른 경쟁기업에 비하여 경쟁우위를 확보하고자 하는 새로운 기업 경영전략. 상호 지분참여나 통제권한 없이 상호기술공여, 공동유통채널의 이용, 공동연구개발 등 다양한 협력을 통해 기업의 국제 경쟁력과 경영 관리능력을 제고시키려는 기업협력의 한 방식이다. 변화하는 환경에 적응하고 고객에 대한 서비스의 질 향상, 국제적 업 무 능력의 향상,"
